No,種別,銘柄,生産者,現行V(推定・要確認),検索キーワード,楽天検索URL,楽天最安値【記入】,実際のV【記入】,取扱店舗数【記入】,本数,現行リストの暫定価格,価格帯,参照先の推奨,現行V化で20万超のおそれ,備考
11,泡,クリュッグ ロゼ,Krug,29ème Édition,クリュッグ ロゼ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AF%E3%83%AA%E3%83%A5%E3%83%83%E3%82%B0%20%E3%83%AD%E3%82%BC%20750ml/,,,,1,170000,D,オークション落札実績（トップロット等）,,
12,泡,ドン ペリニヨン P2,Dom Pérignon,P2 2006,ドン ペリニヨン P2 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%89%E3%83%B3%20%E3%83%9A%E3%83%AA%E3%83%8B%E3%83%A8%E3%83%B3%20P2%20750ml/,,,,2,280000,象,オークション落札実績（トップロット等）,,
13,白,ドメーヌ ルフレーヴ マコン ヴェルゼ,Domaine Leflaive,2022,ドメーヌ ルフレーヴ マコン ヴェルゼ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%89%E3%83%A1%E3%83%BC%E3%83%8C%20%E3%83%AB%E3%83%95%E3%83%AC%E3%83%BC%E3%83%B4%20%E3%83%9E%E3%82%B3%E3%83%B3%20%E3%83%B4%E3%82%A7%E3%83%AB%E3%82%BC%20750ml/,,,,2,10000,A,楽天最安値,,
14,白,ムルソー,Louis Jadot,2023,ムルソー 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%A0%E3%83%AB%E3%82%BD%E3%83%BC%20750ml/,,,,4,28000,A,楽天最安値,,
15,白,エール ダルジャン,Château Mouton Rothschild,2022,エール ダルジャン 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%A8%E3%83%BC%E3%83%AB%20%E3%83%80%E3%83%AB%E3%82%B8%E3%83%A3%E3%83%B3%20750ml/,,,,4,30000,B,楽天最安値,,
16,白,シャルドネ レ ノワゼティエ,Kistler,2023,シャルドネ レ ノワゼティエ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%89%E3%83%8D%20%E3%83%AC%20%E3%83%8E%E3%83%AF%E3%82%BC%E3%83%86%E3%82%A3%E3%82%A8%20750ml/,,,,2,38000,B,楽天最安値,,
17,白,ドメーヌ ルフレーヴ ピュリニー モンラッシェ,Domaine Leflaive,2022,ドメーヌ ルフレーヴ ピュリニー モンラッシェ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%89%E3%83%A1%E3%83%BC%E3%83%8C%20%E3%83%AB%E3%83%95%E3%83%AC%E3%83%BC%E3%83%B4%20%E3%83%94%E3%83%A5%E3%83%AA%E3%83%8B%E3%83%BC%20%E3%83%A2%E3%83%B3%E3%83%A9%E3%83%83%E3%82%B7%E3%82%A7%20750ml/,,,,3,50000,C,楽天最安値,,
18,白,シャトー ディケム,Château d'Yquem,2019,シャトー ディケム 375ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%87%E3%82%A3%E3%82%B1%E3%83%A0%20375ml/,,,,2,55000,C,楽天最安値,,
19,白,パヴィヨン ブラン デュ シャトー マルゴー,Château Margaux,2022,パヴィヨン ブラン デュ シャトー マルゴー 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%91%E3%83%B4%E3%82%A3%E3%83%A8%E3%83%B3%20%E3%83%96%E3%83%A9%E3%83%B3%20%E3%83%87%E3%83%A5%20%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%9E%E3%83%AB%E3%82%B4%E3%83%BC%20750ml/,,,,4,55000,C,楽天最安値,,
20,白,コルトン シャルルマーニュ グラン クリュ,Louis Latour,2022,コルトン シャルルマーニュ グラン クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B3%E3%83%AB%E3%83%88%E3%83%B3%20%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%AB%E3%83%9E%E3%83%BC%E3%83%8B%E3%83%A5%20%E3%82%B0%E3%83%A9%E3%83%B3%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,1,65000,C,楽天最安値,,
21,白,ドメーヌ ルフレーヴ ピュリニー モンラッシェ 1er クリュ フォラティエール,Domaine Leflaive,2022,ドメーヌ ルフレーヴ ピュリニー モンラッシェ 1er クリュ フォラティエール 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%89%E3%83%A1%E3%83%BC%E3%83%8C%20%E3%83%AB%E3%83%95%E3%83%AC%E3%83%BC%E3%83%B4%20%E3%83%94%E3%83%A5%E3%83%AA%E3%83%8B%E3%83%BC%20%E3%83%A2%E3%83%B3%E3%83%A9%E3%83%83%E3%82%B7%E3%82%A7%201er%20%E3%82%AF%E3%83%AA%E3%83%A5%20%E3%83%95%E3%82%A9%E3%83%A9%E3%83%86%E3%82%A3%E3%82%A8%E3%83%BC%E3%83%AB%20750ml/,,,,2,95000,C,楽天最安値,,
22,白,ムルソー 1er クリュ ジュヌヴリエール,Domaine des Comtes Lafon,2022,ムルソー 1er クリュ ジュヌヴリエール 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%A0%E3%83%AB%E3%82%BD%E3%83%BC%201er%20%E3%82%AF%E3%83%AA%E3%83%A5%20%E3%82%B8%E3%83%A5%E3%83%8C%E3%83%B4%E3%83%AA%E3%82%A8%E3%83%BC%E3%83%AB%20750ml/,,,,1,130000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
23,白,シュヴァリエ モンラッシェ グラン クリュ,Bouchard Père & Fils,2022,シュヴァリエ モンラッシェ グラン クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A5%E3%83%B4%E3%82%A1%E3%83%AA%E3%82%A8%20%E3%83%A2%E3%83%B3%E3%83%A9%E3%83%83%E3%82%B7%E3%82%A7%20%E3%82%B0%E3%83%A9%E3%83%B3%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,1,160000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
24,赤,シャトー タルボ,Château Talbot,2022,シャトー タルボ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%82%BF%E3%83%AB%E3%83%9C%20750ml/,,,,5,18000,A,楽天最安値,,
25,赤,ティニャネロ,Antinori,2022,ティニャネロ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%86%E3%82%A3%E3%83%8B%E3%83%A3%E3%83%8D%E3%83%AD%20750ml/,,,,4,28000,A,楽天最安値,,
26,赤,シルバーオーク アレクサンダー ヴァレー カベルネ,Silver Oak,2021,シルバーオーク アレクサンダー ヴァレー カベルネ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%AF%20%E3%82%A2%E3%83%AC%E3%82%AF%E3%82%B5%E3%83%B3%E3%83%80%E3%83%BC%20%E3%83%B4%E3%82%A1%E3%83%AC%E3%83%BC%20%E3%82%AB%E3%83%99%E3%83%AB%E3%83%8D%20750ml/,,,,3,28000,A,楽天最安値,,
27,赤,シャトー カロン セギュール,Château Calon Ségur,2022,シャトー カロン セギュール 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%82%AB%E3%83%AD%E3%83%B3%20%E3%82%BB%E3%82%AE%E3%83%A5%E3%83%BC%E3%83%AB%20750ml/,,,,5,35000,B,楽天最安値,,
28,赤,ジュヴレ シャンベルタン,Domaine Faiveley,2022,ジュヴレ シャンベルタン 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B8%E3%83%A5%E3%83%B4%E3%83%AC%20%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%99%E3%83%AB%E3%82%BF%E3%83%B3%20750ml/,,,,3,35000,B,楽天最安値,,
29,赤,ケンゾー エステート 紫鈴 rindo,Kenzo Estate,2023,ケンゾー エステート 紫鈴 rindo 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B1%E3%83%B3%E3%82%BE%E3%83%BC%20%E3%82%A8%E3%82%B9%E3%83%86%E3%83%BC%E3%83%88%20%E7%B4%AB%E9%88%B4%20rindo%20750ml/,,,,3,38000,B,楽天最安値,,
30,赤,オーバーチュア,Opus One,NV,オーバーチュア 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AA%E3%83%BC%E3%83%90%E3%83%BC%E3%83%81%E3%83%A5%E3%82%A2%20750ml/,,,,3,40000,B,楽天最安値,,
31,赤,サッシカイア,Tenuta San Guido,2022,サッシカイア 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B5%E3%83%83%E3%82%B7%E3%82%AB%E3%82%A4%E3%82%A2%20750ml/,,,,3,45000,B,楽天最安値,,
32,赤,オルネッライア,Ornellaia,2022,オルネッライア 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AA%E3%83%AB%E3%83%8D%E3%83%83%E3%83%A9%E3%82%A4%E3%82%A2%20750ml/,,,,2,45000,B,楽天最安値,,
33,赤,パヴィヨン ルージュ デュ シャトー マルゴー,Château Margaux,2022,パヴィヨン ルージュ デュ シャトー マルゴー 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%91%E3%83%B4%E3%82%A3%E3%83%A8%E3%83%B3%20%E3%83%AB%E3%83%BC%E3%82%B8%E3%83%A5%20%E3%83%87%E3%83%A5%20%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%9E%E3%83%AB%E3%82%B4%E3%83%BC%20750ml/,,,,5,55000,C,楽天最安値,,
34,赤,カリュアド ド ラフィット,Château Lafite Rothschild,2022,カリュアド ド ラフィット 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AB%E3%83%AA%E3%83%A5%E3%82%A2%E3%83%89%20%E3%83%89%20%E3%83%A9%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%20750ml/,,,,4,60000,C,楽天最安値,,
35,赤,ル プティ ムートン,Château Mouton Rothschild,2022,ル プティ ムートン 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%AB%20%E3%83%97%E3%83%86%E3%82%A3%20%E3%83%A0%E3%83%BC%E3%83%88%E3%83%B3%20750ml/,,,,3,65000,C,楽天最安値,,
36,赤,シャンボール ミュジニー 1er クリュ,Joseph Drouhin,2022,シャンボール ミュジニー 1er クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%9C%E3%83%BC%E3%83%AB%20%E3%83%9F%E3%83%A5%E3%82%B8%E3%83%8B%E3%83%BC%201er%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,3,65000,C,楽天最安値,,
37,赤,オーパス ワン,Opus One,2022,オーパス ワン 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AA%E3%83%BC%E3%83%91%E3%82%B9%20%E3%83%AF%E3%83%B3%20750ml/,,,,6,85000,C,楽天最安値,,
38,赤,シャトー パルメ,Château Palmer,2022,シャトー パルメ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%91%E3%83%AB%E3%83%A1%20750ml/,,,,2,95000,C,楽天最安値,,
39,赤,ヴォーヌ ロマネ 1er クリュ,Louis Jadot,2022,ヴォーヌ ロマネ 1er クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%B4%E3%82%A9%E3%83%BC%E3%83%8C%20%E3%83%AD%E3%83%9E%E3%83%8D%201er%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,2,95000,C,楽天最安値,,
40,赤,クロ ド ヴージョ グラン クリュ,Louis Jadot,2022,クロ ド ヴージョ グラン クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AF%E3%83%AD%20%E3%83%89%20%E3%83%B4%E3%83%BC%E3%82%B8%E3%83%A7%20%E3%82%B0%E3%83%A9%E3%83%B3%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,2,95000,C,楽天最安値,,
41,赤,シャトー ムートン ロートシルト,Château Mouton Rothschild,2022,シャトー ムートン ロートシルト 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%A0%E3%83%BC%E3%83%88%E3%83%B3%20%E3%83%AD%E3%83%BC%E3%83%88%E3%82%B7%E3%83%AB%E3%83%88%20750ml/,,,,1,130000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
42,赤,シャトー オー ブリオン,Château Haut-Brion,2022,シャトー オー ブリオン 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%82%AA%E3%83%BC%20%E3%83%96%E3%83%AA%E3%82%AA%E3%83%B3%20750ml/,,,,1,130000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
43,赤,シャトー アンジェリュス,Château Angélus,2022,シャトー アンジェリュス 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%82%A2%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AA%E3%83%A5%E3%82%B9%20750ml/,,,,2,130000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
44,赤,ガヤ バルバレスコ,Gaja,2022,ガヤ バルバレスコ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%AC%E3%83%A4%20%E3%83%90%E3%83%AB%E3%83%90%E3%83%AC%E3%82%B9%E3%82%B3%20750ml/,,,,2,130000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
45,赤,シャトー マルゴー,Château Margaux,2022,シャトー マルゴー 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%9E%E3%83%AB%E3%82%B4%E3%83%BC%20750ml/,,,,1,150000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
46,赤,シャンベルタン クロ ド ベーズ グラン クリュ,Louis Jadot,2022,シャンベルタン クロ ド ベーズ グラン クリュ 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%99%E3%83%AB%E3%82%BF%E3%83%B3%20%E3%82%AF%E3%83%AD%20%E3%83%89%20%E3%83%99%E3%83%BC%E3%82%BA%20%E3%82%B0%E3%83%A9%E3%83%B3%20%E3%82%AF%E3%83%AA%E3%83%A5%20750ml/,,,,1,150000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
47,赤,ヴェガ シシリア ウニコ,Vega Sicilia,2015,ヴェガ シシリア ウニコ 750ml,https://search.rakuten.co.jp/search/mall/%E3%83%B4%E3%82%A7%E3%82%AC%20%E3%82%B7%E3%82%B7%E3%83%AA%E3%82%A2%20%E3%82%A6%E3%83%8B%E3%82%B3%20750ml/,,,,2,150000,D,オークション落札実績（トップロット等）,,
48,赤,シャトー ラトゥール,Château Latour,2018,シャトー ラトゥール 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%A9%E3%83%88%E3%82%A5%E3%83%BC%E3%83%AB%20750ml/,,,,1,180000,D,オークション落札実績（トップロット等）,,
49,赤,シャトー ラフィット ロートシルト,Château Lafite Rothschild,2022,シャトー ラフィット ロートシルト 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%83%A9%E3%83%95%E3%82%A3%E3%83%83%E3%83%88%20%E3%83%AD%E3%83%BC%E3%83%88%E3%82%B7%E3%83%AB%E3%83%88%20750ml/,,,,1,180000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
50,赤,シャトー シュヴァル ブラン,Château Cheval Blanc,2022,シャトー シュヴァル ブラン 750ml,https://search.rakuten.co.jp/search/mall/%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BC%20%E3%82%B7%E3%83%A5%E3%83%B4%E3%82%A1%E3%83%AB%20%E3%83%96%E3%83%A9%E3%83%B3%20750ml/,,,,1,190000,D,オークション落札実績（トップロット等）,要注意（当たり年）,
